

Results from query to  NASA/IPAC Extragalactic Database (NED),
which is funded by the National Aeronautics and Space Administration.
and operated by the California Institute of Technology.


queryDateTime:2025-04-12T14:47:45PDT



Main Information Table for All Sky, chosen by params



Equinox:J2000.0



CoordSystem:Equatorial

No.|Object Name|RA|DEC|Type|Velocity|Redshift|Redshift Flag|Magnitude and Filter|Separation|References|Notes|Photometry Points|Positions|Redshift Points|Diameter Points|Associations
42|WISEA J100015.97+490712.2|150.06657 |  49.12008 |QSO|542207| 1.808607 |SLS |19.5g|  0.000|31|0|38|9|15|8|0
43|WISEA J100016.01+450153.0|150.06673 |  45.03141 |QSO|994750| 3.318128 |SLS |19.8g|  0.000|39|0|38|8|15|8|0
44|WISEA J100017.42+305324.0|150.07259 |  30.89001 |QSO|477412| 1.592475 |SLS |20.0g|  0.000|22|0|38|7|11|8|1
45|WISEA J100017.79+494244.1|150.07415 |  49.71226 |*|187276| 0.624684 |SLS |20.7g|  0.000|8|0|17|5|5|4|0
46|WISEA J100018.15+402847.0|150.07564 |  40.47973 |QSO|615906| 2.054440 |SLS |19.3g|  0.000|26|0|46|9|12|8|0
47|WISEA J100020.28+312306.6|150.08442 |  31.38529 |QSO|965944| 3.222042 |SLS |20.5g|  0.000|26|0|40|8|13|8|0
48|WISEA J100020.35+524411.9|150.08481 |  52.73684 |QSO|508322| 1.695580 |SLS |20.3g|  0.000|23|0|39|7|12|6|0
49|WISEA J100020.43+323523.1|150.08505 |  32.58984 |QSO|353537| 1.179272 |SLS |20.7g|  0.000|13|0|21|6|5|4|0
50|SDSS J100020.48+364802.7|150.08537 |  36.80076 |*|681540| 2.273372 |SLS |20.8g|  0.000|9|0|5|3|2|4|0
51|WISEA J100020.88+320821.1|150.08715 |  32.13918 |QSO|344210| 1.148162 |SLS |21.4g|  0.000|12|0|21|6|5|4|0
52|WISEA J100021.33+534605.9|150.08891 |  53.76833 |QSO|488840| 1.630593 |SLS |19.0g|  0.000|32|0|46|10|15|8|0
53|WISEA J100021.80+395105.3|150.09086 |  39.85148 |QSO|444946| 1.484180 |SLS |17.7g|  0.000|27|0|51|9|11|8|0
54|SDSS J100022.13+372127.6|150.09225 |  37.35767 |*|770938| 2.571572 |SLS |20.8g|  0.000|10|0|5|7|7|4|0
55|SDSS J100022.31+314602.1|150.09298 |  31.76727 |QSO|492958| 1.644330 |SLS |21.0g|  0.000|10|0|5|3|4|4|0
56|WISEA J100023.21+361658.6|150.09675 |  36.28294 |QSO|803648| 2.680681 |SLS |19.0g|  0.000|35|0|38|10|14|8|0
